Summary,Issue Type,Parent,Description,Priority,Labels
Build core countdown timer engine with background execution,Story,Timer & Sessions,"Timer engine that survives backgrounding, corrects for clock drift, and resumes accurately on foreground. Drift < 1s over 30 min.",Highest,sprint-1
Implement session types and preset management,Story,Timer & Sessions,"Focus (25m), Short Break (5m), Long Break (15m after 4 focuses). Configurable durations with validated input. Persist TimerPreset model (SwiftData).",Highest,sprint-1
Build timer UI with progress ring and controls,Story,Timer & Sessions,"Main timer screen: remaining time, session type indicator, progress ring, pause/resume/cancel buttons, task name display.",Highest,sprint-1
Implement two-tap quick-start flow,Story,Timer & Sessions,"Default focus session reachable in <= 2 taps from app launch. Optional task name input on the start path.",Highest,sprint-1
Implement timer completion notifications,Story,Timer & Sessions,"Local notification via UNUserNotificationCenter when timer completes in background. Permission request on first use.",High,sprint-1
Define UserProfile model and implement onboarding flow,Story,Timer & Sessions,"UserProfile (SwiftData): display name, preferences, onboarding state. First-run flow: welcome screen, character selection gate, notification permission prompt, first session nudge.",High,sprint-1
Implement session logging and outcome tracking,Story,Timer & Sessions,"Persist SessionLog (SwiftData) on completion or abandonment: task name, type, start/end time, planned/actual duration, outcome, XP/coins earned.",Highest,sprint-1
Build session history list view,Story,Timer & Sessions,"Scrollable list of past sessions with date, task, duration, and outcome. Sorted most-recent-first.",High,sprint-2
Implement daily streak tracking,Story,Streaks & Rewards,"StreakState model (SwiftData). Increment on first session each calendar day. Reset on missed day without freeze. Local timezone.",Highest,sprint-2
Implement milestone unlock system,Story,Streaks & Rewards,"Trigger rewards at streak days 3, 7, 14, 30, 60. Grant bonus coins and unlock predefined cosmetic items.",High,sprint-2
Implement XP and coin economy,Story,Streaks & Rewards,"Award XP and coins on session completion. Define XP curve, level thresholds, and coin rates by session type.",High,sprint-2
Build streak UI and reward reveal animation,Story,Streaks & Rewards,"Streak counter on home screen. Celebration animation on milestone (skippable, <= 2.5s). Empathetic messaging on streak loss.",High,sprint-2
Implement streak freeze policy,Story,Streaks & Rewards,"Limited freeze days to protect streak. Define acquisition rules (earned vs purchased). Show freeze status in UI.",Medium,sprint-2
Build base character selection and trait customization,Story,Character & Cosmetics,"Character selection during onboarding. Trait customization (face/expression/appearance). Persist in CharacterLoadout (SwiftData).",High,sprint-3
Build layered 2D sprite rendering and animations,Story,Character & Cosmetics,"Composite rendering: base + traits + equipped items with z-ordering. Animations: idle, celebrate, focus, rest. Sprite-sheet or Lottie.",High,sprint-3
Implement equipment slot system,Story,Character & Cosmetics,"Slots: head, top, bottom/full-body, accessory. Equip/unequip interaction. Slot exclusivity rules.",High,sprint-3
Build inventory grid UI,Story,Character & Cosmetics,"Grid view of all cosmetics with visual states: owned (color), locked (silhouette), new (badge). New-item badge clears on first view.",High,sprint-3
Build character dressing room,Story,Character & Cosmetics,"Full-screen preview where users swap equipped items and traits. Preview before equipping.",Medium,sprint-3
Implement item unlock and coin purchase flows,Story,Character & Cosmetics,"Unlock items via milestone rewards or coin purchase. Purchase flow: show cost, confirm, deduct, mark owned.",High,sprint-4
Define cosmetic rarity tiers and launch catalog,Story,Character & Cosmetics,"Common, rare, and animated-rare tiers. Curate launch catalog with adequate variety across all slots and rarity levels.",Medium,sprint-4
Implement daily and weekly quest system,Story,Quests,"QuestProgress model (SwiftData). Generate daily quests at midnight, weekly quests on Monday. Track progress against targets.",High,sprint-4
Build quest list UI with progress indicators,Story,Quests,"Active quests with progress bars. Visual distinction between daily and weekly. Claim button on completion.",High,sprint-4
Implement quest completion reward flow,Story,Quests,"On target met: show completion state, allow reward claim (coins/XP/item), animate claim.",High,sprint-4
Build Today and 7-day stats views,Story,Stats & Insights,"Today: sessions, focus minutes, streak, coins/XP earned. 7-day: daily focus minutes bar or line chart.",High,sprint-4
Build all-time stats and session history timeline,Story,Stats & Insights,"Lifetime totals (sessions, minutes, longest streak, total XP/coins). Calendar or timeline view; tap a day for details.",Medium,sprint-4
Build milestone progress tracker,Story,Stats & Insights,"View showing upcoming streak milestones, progress toward each, and preview of locked rewards.",Medium,sprint-4
Define AI data models,Story,AI Coach,"SwiftData models: AICoachPreference (tone/nudge_frequency/privacy_mode), AIInteractionLog (session_id/feature_type/accepted/dismissed/latency), BehaviorSignal (completion_rate_7d/abandon_rate_7d/avg_focus_minutes/streak_risk_score).",High,sprint-5
Build BehaviorSignal computation layer,Story,AI Coach,"Compute rolling behavioral signals from SessionLog and StreakState. Update on each session completion. Input to all AI inference.",High,sprint-5
Implement intent framing (inference + UI),Story,AI Coach,"generate_focus_intent: given task and behavior, produce concrete intent. Pre-session UI: accept, edit, or dismiss. Log to AIInteractionLog. Must work offline.",High,sprint-5
Implement post-session reflection (inference + UI),Story,AI Coach,"generate_post_session_tip: given outcome and behavior, produce one actionable tip. Post-session UI: acknowledge or dismiss. Log interaction. Must work offline.",High,sprint-5
Implement streak rescue nudge (logic + notification + UI),Story,AI Coach,"Trigger when streak_risk_score exceeds threshold and no session today. Max one nudge per window. Local notification and/or in-app banner linking to quick-start.",High,sprint-5
Add AI preferences UI and guardrails,Story,AI Coach,"Settings: tone (encouraging/direct/calm), nudge frequency (low/medium/high), quiet hours. Frequency cap enforcement. All AI features optional and never block timer.",Medium,sprint-5
Implement deterministic fallback and safety filter,Story,AI Coach,"Fallback to curated templates when confidence is low or inference fails. Content filter blocks shaming or harmful language. Log filtered events.",High,sprint-5
Wire up AI analytics events,Story,AI Coach,"Instrument: ai_prompt_shown, ai_suggestion_accepted, ai_suggestion_dismissed, ai_recommendation_followed, ai_nudge_opened.",Medium,sprint-5
Verify all Wave 1 AI features work offline,Story,AI Coach,"End-to-end test in airplane mode: framing, reflection, and nudge all produce valid output with zero network.",High,sprint-5
AI Coach Wave 1 phased rollout,Story,AI Coach,"Internal dogfood (1 wk) -> 10% A/B (2 wk) -> 50% with guardrails -> 100% after KPI pass.",Medium,sprint-5
Adapt all views for iPad layouts,Story,Platform & Sync,"Responsive layouts for timer, character, inventory, and stats on iPad. Utilize available space without stretching mobile layout.",Medium,sprint-3-4
Support iPad Split View and Slide Over,Story,Platform & Sync,"App functions correctly in multitasking modes. Graceful rendering at minimum supported width.",Medium,sprint-4
Implement CloudKit sync for core models,Story,Platform & Sync,"Configure CloudKit container. Enable SwiftData + CloudKit sync for UserProfile, SessionLog, StreakState, CharacterLoadout, InventoryItem, QuestProgress.",High,sprint-4
Implement sync conflict resolution and offline recovery,Story,Platform & Sync,"Merge conflict strategy (last-writer-wins or field-level). Verify offline-created data syncs on reconnect with no loss or duplication.",High,sprint-5
